5,10,15,20,Half,25,30,35,40,Finish
20:51,21:07,21:19,21:17,04:37,16:43,21:24,21:50,25:35,10:43
29:38,31:34,34:13,40:51,09:43,43:18,58:41,52:26,54:39,21:09
27:40,29:03,29:15,29:30,06:34,23:59,31:26,33:19,34:54,16:00
21:19,20:52,20:51,21:14,04:30,16:20,21:02,21:31,26:43,11:46
20:35,20:58,20:57,20:44,04:29,16:16,21:04,21:38,22:56,09:40
21:14,21:14,21:25,21:27,04:43,17:22,23:15,26:02,27:30,11:34
32:16,33:36,39:27,47:24,09:48,38:13,49:42,52:02,50:07,23:26
-,-,-,-,-,-,-,-,-,-
21:53,22:05,22:18,22:12,04:52,17:37,23:33,24:55,26:53,11:26
29:29,28:52,29:19,28:24,06:09,22:29,29:29,29:56,30:38,12:41
29:29,28:53,29:18,28:26,06:07,22:28,29:31,29:55,30:38,12:41
20:34,20:36,20:44,20:51,04:29,16:14,21:19,21:47,22:29,09:45
24:09,24:51,25:52,28:11,06:09,23:08,30:42,31:46,33:43,13:22
24:40,25:15,25:19,25:13,05:26,22:48,28:11,30:57,32:24,12:53
26:39,27:03,27:18,28:48,05:57,21:04,27:24,28:38,29:13,12:31
26:28,26:12,26:02,27:45,06:00,23:36,32:33,37:04,42:59,15:06
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
30:08,33:07,30:53,32:02,06:57,25:39,33:41,37:08,36:37,14:31
28:20,30:00,28:37,29:23,06:23,23:47,30:07,33:21,35:56,16:02
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
29:32,29:44,30:36,31:16,06:47,26:53,35:38,32:49,34:34,15:15
25:52,25:57,25:50,25:57,05:35,20:32,26:33,27:10,27:50,12:04
28:27,29:19,31:10,30:34,06:38,24:37,33:08,37:20,36:13,15:17
35:40,40:43,43:53,48:20,09:52,38:10,47:36,59:57,48:40,21:50
21:23,21:27,21:47,21:45,04:43,16:58,22:01,22:58,25:02,10:39
42:43,51:47,44:30,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
28:44,28:49,28:17,28:12,05:59,21:35,27:15,27:33,27:17,12:13
26:54,27:35,29:04,29:50,06:33,27:05,39:21,41:48,43:34,16:23
-,-,-,-,-,-,-,-,-,-
28:58,28:52,29:48,31:22,08:11,30:12,43:02,44:22,41:07,16:13
27:59,28:23,29:04,29:04,06:20,23:07,30:26,31:29,33:03,13:53
28:24,28:37,28:25,28:28,06:08,22:28,29:07,31:22,32:41,13:58
-,-,-,-,-,-,-,-,-,-
25:52,25:38,25:47,26:02,05:35,20:14,26:15,26:34,26:52,11:56
24:59,25:06,25:31,25:49,05:37,20:22,27:17,27:44,27:33,11:49
25:18,25:32,26:07,26:25,05:54,20:58,27:28,29:20,30:29,13:11
19:39,19:14,19:29,19:48,04:22,15:50,20:30,22:39,24:09,09:43
28:06,28:18,28:53,30:19,06:36,24:10,31:32,34:51,46:54,20:48
27:56,28:38,29:33,31:00,07:12,28:13,43:11,43:47,40:41,16:07
20:01,20:19,20:38,20:34,04:21,16:05,20:45,20:55,21:13,09:00
38:07,39:41,45:14,47:34,09:44,53:32,46:29,48:23,47:23,20:57
25:55,25:20,25:44,26:29,05:36,20:43,27:11,28:38,28:57,13:26
25:45,25:32,25:40,25:59,05:45,22:17,36:13,34:30,35:07,13:17
29:56,28:50,34:15,29:35,06:28,25:31,29:06,31:05,28:54,12:15
28:13,28:02,28:32,28:08,06:08,22:26,30:37,33:39,34:02,14:24
-,-,-,-,-,-,-,-,-,-
19:21,19:02,19:31,19:37,04:18,16:12,22:31,23:41,26:22,12:42
32:13,33:42,34:24,36:36,08:09,32:00,41:09,42:12,42:05,18:17
-,-,-,-,-,-,-,-,-,-
30:00,29:58,29:50,31:46,06:45,25:29,33:05,36:47,34:25,14:01
39:11,42:00,45:56,48:49,14:06,44:55,55:12,-,-,-
29:31,30:21,31:01,31:30,06:41,24:43,32:48,35:48,44:32,16:42
27:26,27:37,28:38,28:55,06:14,22:43,30:23,33:42,35:42,13:50
21:46,21:09,21:22,21:41,04:43,17:17,22:40,23:28,24:05,10:41
46:43,47:07,52:03,52:32,11:25,42:09,-,-,-,-
23:10,22:38,23:04,23:43,05:09,18:33,24:55,26:15,27:28,11:42
29:55,33:01,32:52,36:53,08:00,29:53,37:14,41:43,39:43,16:15
-,-,-,-,-,-,-,-,-,-
31:27,32:14,32:56,32:40,07:11,27:18,36:17,38:10,42:04,16:12
22:33,22:34,22:41,22:39,04:52,17:43,23:10,24:29,26:01,10:55
20:46,21:05,21:17,21:29,04:43,17:14,23:04,23:42,24:25,10:41
34:23,34:46,34:41,35:14,07:33,26:42,35:00,39:23,38:43,16:06
23:23,22:53,23:24,23:40,05:03,18:09,23:17,24:14,24:59,10:26
30:04,30:53,32:30,34:11,07:06,25:37,40:53,35:09,39:55,18:32
30:21,31:09,31:43,31:33,06:51,25:10,35:07,40:07,40:33,17:13
24:32,24:02,24:11,23:48,05:10,18:23,23:24,23:47,24:06,10:38
18:13,18:52,18:51,18:43,04:07,14:42,19:09,19:05,19:06,08:06
32:53,33:24,34:34,37:35,07:44,30:12,39:18,40:56,37:07,14:28
31:37,32:33,34:08,35:08,07:30,29:38,40:06,44:33,44:43,18:14
24:42,25:06,25:03,24:57,05:22,19:43,25:55,27:01,28:43,11:46
26:34,27:11,28:00,29:58,06:37,25:24,32:46,33:56,34:14,13:56
36:12,36:28,37:45,40:55,07:57,32:57,43:11,44:11,46:30,18:45
22:00,21:35,22:26,22:22,04:51,18:25,25:37,29:01,27:13,12:20
37:31,39:11,39:44,40:21,08:38,32:03,41:38,43:31,45:23,19:03
39:55,35:48,43:29,39:28,07:40,35:19,46:33,46:16,47:57,18:55
37:25,36:48,38:14,40:43,09:12,36:51,48:07,54:25,01:01:31,25:46
37:03,38:53,42:04,39:55,08:29,31:02,44:06,39:36,40:09,16:59
32:51,32:58,34:14,34:57,07:43,29:12,38:36,45:06,45:02,17:53
26:07,26:54,27:07,28:37,06:26,-,-,-,-,-
23:35,24:06,24:21,24:48,05:29,20:09,28:57,34:04,33:46,14:14
28:55,29:31,30:12,31:14,06:27,27:14,29:01,33:23,32:27,13:53
25:51,25:48,26:10,26:13,05:41,20:13,25:48,26:09,26:39,11:46
-,-,-,-,-,-,-,-,-,-
17:20,17:44,17:42,17:49,03:53,13:59,17:57,18:11,18:12,07:51
25:55,26:15,26:28,26:28,05:36,20:30,26:41,26:47,26:57,11:33
26:35,26:09,26:29,27:08,05:47,21:13,27:27,27:46,27:37,12:26
33:30,32:33,33:35,34:51,07:11,25:53,33:47,39:29,37:33,15:19
26:07,25:06,24:57,24:57,05:26,19:24,25:38,28:05,31:03,13:42
30:12,30:50,33:22,35:06,07:33,30:54,45:42,49:36,46:22,18:19
-,-,-,-,-,-,-,-,-,-
40:58,44:34,47:50,52:39,10:15,40:30,55:15,56:52,01:01:24,27:28
38:38,36:44,36:35,40:36,09:30,35:36,51:06,50:23,49:37,21:34
-,-,-,-,-,-,-,-,-,-
31:17,32:53,32:06,32:58,07:00,25:12,32:15,32:29,31:42,13:54
25:24,26:17,26:08,26:54,05:50,21:39,29:48,31:37,32:32,14:25
28:33,29:38,30:22,30:29,06:41,24:27,32:14,33:02,34:17,15:33
36:02,34:35,34:59,35:46,07:40,29:11,35:13,38:05,43:09,17:44
30:14,29:20,29:28,29:11,06:25,23:34,30:41,31:53,29:50,13:23
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
27:28,26:42,26:10,26:59,05:54,21:46,27:47,28:49,33:50,12:51
26:24,27:36,29:19,30:57,07:07,25:54,33:46,33:47,35:18,15:01
25:03,24:40,25:15,25:45,05:19,19:38,25:40,28:15,28:32,11:59
26:11,26:13,25:56,25:00,05:33,19:15,24:14,24:00,24:27,10:51
21:40,22:15,22:18,22:18,04:48,17:18,22:08,22:33,23:39,09:58
35:32,36:34,37:25,36:32,07:50,31:58,40:00,47:44,42:11,18:26
25:47,26:05,28:31,30:50,06:04,26:58,34:20,34:53,33:46,13:47
35:06,34:25,36:23,39:48,09:03,35:20,48:45,46:05,49:40,20:35
37:46,38:14,40:59,41:27,08:58,35:13,46:47,45:03,44:13,17:53
30:52,31:01,32:25,32:15,07:04,26:35,34:20,35:26,35:24,14:39
28:13,29:43,30:24,32:03,07:10,27:09,39:40,45:50,39:52,16:01
-,-,-,-,-,-,-,-,-,-
40:12,40:09,44:20,44:45,08:59,37:02,46:17,48:16,47:36,20:10
26:58,28:19,27:55,28:37,05:58,22:45,30:29,42:03,43:59,17:28
33:52,31:44,33:22,38:27,07:13,29:46,39:18,44:08,38:21,16:54
35:05,34:03,40:40,41:10,08:42,33:53,46:44,48:07,47:59,18:50
31:55,38:52,33:08,34:45,07:24,27:28,39:04,44:45,45:51,17:32
20:22,20:44,21:01,21:07,04:40,16:44,22:29,24:57,25:30,10:25
29:09,29:12,29:19,29:50,06:35,24:12,32:04,39:02,36:45,14:33
35:56,35:35,38:51,40:34,08:56,34:48,48:18,50:49,49:50,17:28
40:12,40:08,44:21,44:45,08:59,37:02,46:17,48:16,47:36,20:10
23:30,24:17,24:31,24:44,05:17,19:45,25:51,26:16,26:54,12:03
31:51,31:45,31:45,30:38,06:36,25:31,33:20,33:39,36:11,16:00
34:10,34:15,34:47,36:33,07:50,30:55,39:19,40:24,39:33,16:27
28:49,29:50,30:33,30:54,06:40,24:18,31:50,32:29,33:21,14:29
21:34,21:20,22:38,22:50,04:46,19:15,-,-,-,-
25:30,28:30,26:36,26:50,06:18,22:23,28:59,31:35,31:10,13:45
28:19,29:27,30:17,31:43,07:01,30:40,41:24,45:24,48:46,18:54
-,-,-,-,-,-,-,-,-,-
35:35,35:03,34:52,35:03,07:40,27:57,36:36,38:19,37:24,16:23
30:46,31:04,31:58,32:51,07:24,29:40,37:18,44:04,40:03,13:53
32:26,32:10,33:03,33:39,07:10,26:32,34:50,36:38,36:49,15:49
19:01,19:23,19:30,19:43,04:15,15:14,19:26,19:31,19:54,08:52
34:46,32:47,33:45,35:41,07:57,30:17,38:49,43:31,40:36,16:07
27:31,27:41,27:34,27:17,05:58,21:21,27:00,28:30,30:30,12:30
27:21,28:16,28:33,28:22,06:25,25:26,32:31,36:13,32:51,13:24
29:57,31:27,32:51,31:34,06:50,25:35,33:07,35:49,35:40,14:04
22:34,23:10,24:31,23:57,05:16,18:56,24:45,25:07,26:21,11:55
